id,comicsId
12401,22372
12401,39671
12401,1463
12401,877
12401,25436
12401,25440
12401,50915
12401,49807
12401,41692
12401,3898
12401,4417
12401,26048
12401,56317
12401,20695
12401,20889
12401,21020
12401,4170
12401,4428
12401,4748
12401,5045
13244,64686
13244,64687
13244,64688
13244,64689
3050,8619
3050,9542
3050,17987
3346,12162
4165,12805
4165,20459
4165,20755
4165,20760
4165,13718
4165,12102
2929,9105
3540,12093
2632,17457
2632,9295
2632,23037
2632,23032
2632,22601
2632,22606
2632,11711
2922,9096
2922,9098
2922,11636
12967,56098
12967,62237
12967,62795
2926,9102
2926,9104
2926,9105
2926,9107
2926,9109
2926,9112
2926,9113
2926,9114
2926,9115
2926,9116
2926,9117
2926,9118
2926,9119
2926,9120
2926,9122
2926,9124
4557,14100
12439,49633
12439,49703
12439,49704
12439,50248
2148,6989
2148,7640
2148,20022
5991,18253
5991,18254
5991,18255
5991,18256
5991,2539
3029,9449
3029,9453
4958,15631
4958,953
7584,22178
7584,22179
11401,58630
11401,62344
11401,67658
11401,70292
11401,66602
11401,70285
11401,63979
11401,29321
11401,29322
11401,67807
11401,66670
11401,29926
11401,29918
11401,34182
11401,34185
11401,38251
11401,38252
11401,38882
11401,51454
11401,51455
6445,19630
2657,11738
4080,12598
4080,12599
4080,12600
4080,12601
4080,12602
4080,12603
4080,12604
4080,12605
4080,7472
4080,7473
4080,19914
4080,19915
4080,15356
4080,17959
4080,17960
4080,65376
4080,65377
7588,22187
7588,22188
7588,22189
7588,22190
4774,15103
5354,16851
4251,12635
4251,1040
4976,15719
6137,18399
2830,17762
2830,7822
2937,9121
2937,9122
4849,15493
6991,20284
4123,8465
4123,8466
4123,8482
2669,11779
2719,17776
11901,51249
11901,51250
11901,51251
11901,51252
11901,51090
11901,51091
11901,51039
11901,51040
11901,51041
11901,51042
11901,60155
11901,56230
11901,56774
11901,56775
11901,56231
11901,59074
11901,56232
11901,56233
11901,58184
11901,58504
10669,37399
10669,40476
10669,30179
10669,38696
11463,45762
11463,43498
11463,55094
11463,55095
11463,55093
11463,48019
11463,49335
11463,49337
11463,49338
11463,49339
11463,49340
11463,49341
11463,48020
11463,49866
11463,48021
11463,48023
11463,48024
11463,23237
11463,31211
11463,31210
6694,37267
6694,37277
6694,37278
6694,37279
6694,37280
6694,37281
6694,37282
6694,37283
6694,37257
6694,37259
6694,37260
6694,37261
6694,37255
6694,48525
6694,3583
6694,17493
6694,17494
6694,17495
6694,17496
6694,17507
1186,16836
1186,16863
1186,7058
1186,7059
1186,7084
1186,7091
1186,6945
1186,6925
1186,1034
1186,2332
1186,1343
1186,7616
1186,7652
1186,7672
1186,8023
1186,8041
1186,8433
1186,8434
1186,19
1186,63318
4540,53966
4540,54035
4540,54037
4540,70212
1107,56400
1107,48278
1107,51373
1107,17271
1107,17405
1107,17645
1107,20686
1107,20885
1107,21016
1107,66602
1107,36644
1107,41415
1107,38642
1107,36647
1107,38640
1107,36646
1107,38641
1107,36645
1107,38643
1107,39971
2278,7220
2278,66484
2278,8667
2278,10016
2278,15522
2278,27744
2278,27745
2278,64149
11482,60511
11482,38564
11482,61355
11482,61356
11482,61357
11482,61358
11482,61359
11482,61360
11482,61361
11482,61362
11482,66529
11482,62101
11482,66395
11482,66482
11482,66530
11482,66531
11482,66668
11482,40360
11482,40359
11482,40357
9222,22488
9222,23590
12839,48605
12839,56071
12839,53507
12839,53514
12839,53515
12839,53516
12839,53517
12839,48750
12839,63844
12839,65939
12839,58933
12839,58985
12839,58986
12839,58987
12839,58988
12839,58989
12839,71035
12839,71786
12839,65930
12839,65309
12389,52233
12389,52235
12389,52236
12389,52237
12389,52238
12389,52239
12389,50531
12389,50780
3374,5785
3374,46086
3374,19868
3374,68968
3374,10256
3374,19699
3374,19700
3374,63102
11791,40951
11791,39461
11791,42501
10059,28958
10059,27864
2526,8377
1004,24371
1004,57861
1004,62107
1004,45837
1004,45841
1004,45843
1004,45844
1004,45845
1004,45846
1004,29204
1004,45847
1004,35225
