id,collectedIssuesId
26620,26616
26620,26613
26620,23997
26620,23807
6181,14838
6181,14837
6181,14836
6181,14912
6181,14901
6181,14890
6181,14879
6181,14868
6181,14857
6181,14846
6181,4372
1308,546
1308,610
1308,728
1308,681
23033,23485
23033,23484
23033,18423
23033,23309
23033,23308
23033,18422
23033,23483
23033,23307
29131,23850
20919,15938
1433,933
1433,847
1433,776
1433,574
1433,744
1433,716
29452,29453
32533,92
16666,4473
16666,4318
16666,4221
16666,4111
16666,3985
16666,3145
16666,3040
16666,2480
16666,2479
5872,9475
5872,9474
5872,9473
5872,9471
5872,9470
5872,9469
5872,9468
5872,9467
31495,25325
27188,23934
27188,23744
27188,22876
27188,22475
27188,21710
27188,21508
27188,21330
25940,25939
25940,25938
25940,27577
25940,24241
25940,24040
24514,20674
24514,17353
24514,6120
24514,5674
24514,5034
24514,4736
24514,4253
24514,4022
24514,2161
24514,2842
24514,1719
24514,1626
24514,1436
24514,38
24514,927
24514,843
24514,1808
24514,531
24514,723
24514,660
24316,26923
24316,20993
24316,20663
24316,17618
24316,17378
24087,23610
24087,23117
24087,23116
24087,23118
24087,22920
24087,22919
24087,22918
24087,22512
24087,22514
24087,22513
24087,22306
24087,22307
24087,22308
24087,21982
24087,21983
24089,23161
24089,22985
24089,22566
24089,22376
24066,20680
24066,17640
24066,17399
24066,16547
23884,23167
23884,22991
23884,22575
23884,22384
23884,22052
23879,22355
23879,22356
23879,22029
23879,22028
23879,21787
23879,21589
23879,21416
23879,21415
23879,21274
23879,21276
23879,21277
23879,21273
23879,21275
23879,21272
23890,10168
23890,10167
23890,10166
23890,10165
23890,10164
23890,10162
23890,10160
23890,10159
23890,10158
23890,10157
23890,10156
23890,10155
23677,21968
23677,21967
23677,21536
23677,21535
23677,20999
23677,25378
23677,20863
23677,20668
23677,17624
23677,17623
23677,21907
23677,5815
23195,22471
23195,22265
23195,21936
23195,21708
23195,21506
23195,21325
23208,22527
23208,22332
23208,22001
23208,21767
23208,21572
23208,21398
23208,21252
23208,21034
23217,16122
23217,15939
23217,13438
23217,13479
23217,4445
23217,4290
23217,4145
23217,2412
23217,2303
23217,2183
23217,2383
23889,13714
23889,13713
23889,12171
23889,12170
23889,12169
23889,12168
23015,23388
23015,13878
23015,23518
23015,7411
23015,14347
23015,14346
23015,13246
