id,storiesId
116,12960
116,12961
116,12962
116,12963
116,12964
116,12965
116,14056
116,14057
116,14058
116,14059
116,14060
116,14061
116,14062
116,14063
116,14916
116,14917
116,14918
116,14919
116,14920
116,14921
227,6850
227,7272
227,7273
227,24492
227,24493
227,24495
227,26280
227,26281
227,32818
227,32819
227,32820
227,32821
227,32822
227,32823
227,32824
227,32825
227,32826
227,32827
227,32828
227,32829
314,82809
314,82810
314,82811
314,82812
314,82813
314,82814
314,103326
314,103327
314,103328
314,103329
314,103330
314,103331
314,103332
314,103333
314,103334
314,103335
314,105614
314,105615
314,105618
314,105619
303,80882
303,80883
303,80892
303,80893
303,80896
303,80897
303,80898
303,80899
303,80904
303,80905
303,81019
303,81020
303,81023
303,81024
303,81033
303,81034
303,83523
303,83524
303,84589
303,84590
229,4848
229,4850
229,4852
229,4854
229,5923
229,5924
229,5925
229,5926
229,5927
229,5928
229,5929
229,5930
229,5931
229,5932
229,5933
229,5934
229,5935
229,5936
229,5937
229,5938
293,32454
293,32618
293,32619
293,32657
293,32658
293,32673
293,32674
293,32691
293,32692
293,33002
293,33003
293,33043
293,33058
293,33059
293,33072
293,33073
293,33339
293,33340
293,33341
293,33342
231,17945
231,17946
231,17947
231,17948
231,17949
231,17950
231,19414
231,19415
231,19416
231,19417
231,19418
231,19419
231,19420
231,19421
231,19422
231,19423
231,19426
231,19427
231,19428
231,19429
233,15311
233,15312
233,15313
233,15314
233,15315
233,15316
233,17393
233,17394
233,17395
233,17396
233,17397
233,19855
233,19856
233,19857
233,19858
233,21535
233,21536
233,21622
233,21623
233,21624
234,586
234,882
234,883
234,884
234,885
234,890
234,891
234,892
234,893
234,894
234,895
234,896
234,897
234,920
234,921
234,922
234,923
234,924
234,925
234,987
310,77811
310,77812
310,84703
310,84704
310,90279
310,90281
310,90282
310,90331
310,90964
310,90965
310,91099
310,91100
310,91101
310,91102
310,91103
310,91104
310,91107
310,91108
310,91117
310,91118
320,107893
320,107894
320,107895
320,108193
320,108194
320,108195
320,108196
320,108197
320,108198
320,108199
320,108200
320,109145
320,109146
320,109277
320,109278
320,109905
320,109906
320,109933
320,109934
320,109935
235,17292
235,17293
235,17294
235,17295
235,17296
235,17297
235,17298
235,17299
235,30922
235,30923
235,30924
235,30925
235,30926
235,30927
235,39260
235,39261
235,39262
235,39263
235,39264
235,39265
296,71181
296,71182
296,76014
296,76015
296,76109
296,76687
296,76688
296,80340
296,80343
296,80344
296,80345
296,80346
296,80351
296,80352
296,80836
296,80837
296,80838
296,80839
296,81176
296,81177
238,543
238,956
238,957
238,958
238,959
238,960
238,961
238,962
238,963
238,964
238,965
238,966
238,967
238,968
238,969
238,971
238,972
238,973
238,1183
